Frame	CPU Total (ms)	CPU Boids (ms)	CPU Data Update (ms)	CPU Render Dispatch (ms)	GPU Render (ms)
466	2.2497	2.1965	0.022	0.0286	0.130816
467	2.2407	2.0099	0.0211	0.0274	0.131936
468	2.2574	2.0078	0.0234	0.0294	0.130976
469	2.0684	2.061	0.0215	0.0282	0.130176
470	2.067	2.0286	0.0211	0.0278	0.131456
471	2.1583	1.971	0.0212	0.0475	0.127648
472	2.088	1.9822	0.0211	0.0284	0.131264
473	2.0253	1.9746	0.0225	0.0256	0.13168
474	2.036	1.9999	0.0252	0.0255	0.130432
475	2.0347	1.9948	0.0221	0.0291	0.130208
476	2.1063	2.3947	0.0222	0.0545	0.131712
477	2.0855	2.2349	0.0215	0.0494	0.129984
478	2.5024	1.9943	0.0212	0.0549	0.127712
479	2.344	1.9957	0.0213	0.0577	0.130048
480	2.0541	1.9963	0.0211	0.0286	0.131488
481	2.0553	1.9841	0.0219	0.0297	0.13136
482	2.0564	2.0321	0.0231	0.0289	0.131168
483	2.0421	2.0053	0.0222	0.0278	0.130976
484	2.1165	1.9836	0.0212	0.0462	0.130592
485	2.0807	1.9859	0.0229	0.0374	0.127264
486	2.0428	2.0083	0.0219	0.0286	0.130752
487	2.0436	1.9733	0.0212	0.0265	0.13152
488	2.0662	1.9855	0.0212	0.0274	0.131136
489	2.0313	1.9849	0.0219	0.028	0.130304
490	2.0407	2.0304	0.0219	0.0267	0.131584
491	2.0405	1.9847	0.022	0.0263	0.13088
492	2.1135	1.98	0.0213	0.0422	0.127712
493	2.0468	1.9818	0.0212	0.0286	0.131744
494	2.0384	2.0065	0.0212	0.0282	0.130144
495	2.0406	1.9956	0.0211	0.0296	0.131072
496	2.0702	1.9984	0.0221	0.0318	0.131296
497	2.0553	2.0222	0.0211	0.0293	0.13008
498	2.057	1.9958	0.0219	0.0279	0.130208
499	2.0854	1.9697	0.0228	0.0308	0.127392
500	2.0546	1.9699	0.0211	0.0276	0.131584
501	2.0254	1.9774	0.0212	0.0257	0.130048
502	2.0243	1.9892	0.0211	0.0258	0.131008
503	2.0319	1.9662	0.0212	0.0257	0.130432
504	2.0432	1.9778	0.0211	0.0257	0.130016
505	2.0191	1.9654	0.0212	0.0247	0.129984
506	2.0337	1.9658	0.0211	0.0259	0.12992
507	2.0191	1.9716	0.0212	0.0254	0.127104
508	2.0217	2.0015	0.0215	0.0265	0.129792
509	2.028	1.96	0.0212	0.0268	0.129824
510	2.0599	1.9636	0.0212	0.0282	0.130112
511	2.0163	1.9751	0.0211	0.0272	0.131008
512	2.0184	1.9746	0.0214	0.026	0.129952
